"name"	"taxRank"	"taxID"	"Max"	"X5089.b.cladeReads"	"X5090.b.cladeReads"	"X5091.b.cladeReads"	"X5092.b.cladeReads"	"X5093.b.cladeReads"	"X5094.b.cladeReads"	"X5101.b.cladeReads"	"X5102.b.cladeReads"	"X5103.b.cladeReads"	"X5104.b.cladeReads"	"X5105.b.cladeReads"	"X5106.k.cladeReads"	"Max.1"	"X5089.b.cladeReads.."	"X5090.b.cladeReads.."	"X5091.b.cladeReads.."	"X5092.b.cladeReads.."	"X5093.b.cladeReads.."	"X5094.b.cladeReads.."	"X5101.b.cladeReads.."	"X5102.b.cladeReads.."	"X5103.b.cladeReads.."	"X5104.b.cladeReads.."	"X5105.b.cladeReads.."	"X5106.k.cladeReads.."	"Max.2"	"X5089.b.cladeReads.rank"	"X5090.b.cladeReads.rank"	"X5091.b.cladeReads.rank"	"X5092.b.cladeReads.rank"	"X5093.b.cladeReads.rank"	"X5094.b.cladeReads.rank"	"X5101.b.cladeReads.rank"	"X5102.b.cladeReads.rank"	"X5103.b.cladeReads.rank"	"X5104.b.cladeReads.rank"	"X5105.b.cladeReads.rank"	"X5106.k.cladeReads.rank"	"Max.3"	"X5089.b.cladeReads.z.score"	"X5090.b.cladeReads.z.score"	"X5091.b.cladeReads.z.score"	"X5092.b.cladeReads.z.score"	"X5093.b.cladeReads.z.score"	"X5094.b.cladeReads.z.score"	"X5101.b.cladeReads.z.score"	"X5102.b.cladeReads.z.score"	"X5103.b.cladeReads.z.score"	"X5104.b.cladeReads.z.score"	"X5105.b.cladeReads.z.score"	"X5106.k.cladeReads.z.score"	"Max.4"	"X5089.b.cladeReads...z.score"	"X5090.b.cladeReads...z.score"	"X5091.b.cladeReads...z.score"	"X5092.b.cladeReads...z.score"	"X5093.b.cladeReads...z.score"	"X5094.b.cladeReads...z.score"	"X5101.b.cladeReads...z.score"	"X5102.b.cladeReads...z.score"	"X5103.b.cladeReads...z.score"	"X5104.b.cladeReads...z.score"	"X5105.b.cladeReads...z.score"	"X5106.k.cladeReads...z.score"	"lineage"
"Bacteroides nordii"	"S"	291645	14689	1210	13910	2137	1207	1345	1587	1136	2472	1661	1325	14689	351	0.149	0.01139	0.149	0.0143	0.007558	0.006794	0.008501	0.009124	0.01365	0.007894	0.007252	0.1304	0.004786	57	166	60	117	138	181	165	156	114	134	134	57	193	30.28	-0.5863	28.5	1.537	-0.5932	-0.2771	0.2771	-0.7558	2.304	0.4466	-0.3229	30.28	-2.554	41.15	0.7565	41.15	1.611	-0.3682	-0.5925	-0.09143	0.09143	1.42	-0.2696	-0.458	35.69	-1.182	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides eggerthii"	"S"	28111	176240	1007	1207	3004	460	3405	1544	5575	4753	5393	6353	176235	7066	1.564	0.009475	0.01293	0.0201	0.002881	0.0172	0.008271	0.04477	0.02624	0.02563	0.03477	1.564	0.09635	12	182	157	96	210	137	168	93	87	88	60	12	69	48.29	-0.8617	-0.8056	-0.3016	-1.015	-0.1891	-0.7111	0.4196	0.1891	0.3686	0.6379	48.29	0.8379	82.19	-0.7141	-0.5298	-0.1475	-1.066	-0.3021	-0.7783	1.168	0.18	0.1475	0.6349	82.19	3.919	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides caecimuris"	"S"	1796613	16138	1092	7660	2292	912	6532	6202	9504	8057	9545	16138	2436	2440	0.08833	0.01027	0.08208	0.01534	0.005711	0.03299	0.03322	0.07633	0.04449	0.04536	0.08833	0.02162	0.03327	46	172	81	113	155	113	111	72	68	68	46	120	114	1.855	-1.002	0.2455	-0.7737	-1.036	0.03133	-0.03133	0.5956	0.3209	0.6034	1.855	-0.7464	-0.7456	2.475	-1.032	2.194	-0.8046	-1.237	-0.01146	-0.001123	1.936	0.5053	0.5444	2.475	-0.5224	0.001123	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"uncultured Bacteroides sp."	"S"	162156	789	455	789	90	77	320	152	64	50	6	57	189	80	0.008454	0.004281	0.008454	0.0006022	0.0004822	0.001616	0.0008142	0.000514	0.0002761	2.851e-05	0.000312	0.001677	0.001091	178	237.5	178	375.5	455	274	313	345.5	354	829	353	265.5	290.5	9.311	4.893	9.311	0.06613	-0.1058	3.108	0.8861	-0.2777	-0.4629	-1.045	-0.3703	1.375	-0.06613	7.746	3.573	7.746	-0.106	-0.226	0.9078	0.106	-0.1942	-0.4321	-0.6797	-0.3962	0.9688	0.3828	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>environmental&nbsp;samples"
"Bacteroides graminisolvens"	"S"	477666	998	300	998	129	50	385	253	245	269	95	86	100	113	0.01069	0.002823	0.01069	0.0008631	0.0003131	0.001945	0.001355	0.001968	0.001485	0.0004515	0.0004707	0.0008875	0.001541	165	270.5	165	319	549	259	279.5	230	209	317.5	304.5	335	267	6.112	0.8516	6.112	-0.4371	-1.032	1.492	0.4974	0.4371	0.618	-0.6933	-0.7612	-0.6557	-0.5577	9.27	1.403	9.27	-0.5569	-1.107	0.525	-0.065	0.548	0.065	-0.9685	-0.9493	-0.5325	0.121	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides luhongzhouii"	"S"	2650158	9289	373	3056	2444	849	5371	4871	3783	5109	9289	5346	3402	2181	0.04415	0.00351	0.03275	0.01635	0.005317	0.02713	0.02609	0.03038	0.02821	0.04415	0.02926	0.03019	0.02974	67	253	112	110	161	121	124	109	83	70	67	105	120	2.624	-1.483	-0.2472	-0.5291	-1.264	0.8194	0.589	0.08777	0.6987	2.624	0.8079	-0.08777	-0.6503	4.847	-7.932	1.263	-3.894	-7.364	-0.5047	-0.8317	0.5173	-0.1651	4.847	0.1651	0.4575	0.316	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides helcogenes"	"S"	290053	1096	289	821	531	327	878	414	965	809	143	255	1096	172	0.009727	0.002719	0.008797	0.003553	0.002048	0.004435	0.002218	0.00775	0.004467	0.0006796	0.001396	0.009727	0.002345	160	275	175	200.5	249	209	246	169	165	271.5	211.5	160	232.5	1.335	-0.3929	0.7462	0.1253	-0.3116	0.8683	-0.1253	1.055	0.7205	-0.7055	-0.4657	1.335	-0.6434	3.381	-0.2139	2.904	0.2139	-0.5581	0.6663	-0.4709	2.367	0.6827	-1.26	-0.8925	3.381	-0.4057	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides sedimenti"	"S"	2136147	682	203	682	296	156	487	318	223	289	125	96	171	137	0.007308	0.00191	0.007308	0.001981	0.0009769	0.00246	0.001703	0.001791	0.001596	0.0005941	0.0005255	0.001518	0.001868	184	310.5	184	234	350	244	265	236.5	202	285	292	278	254	3.979	-0.08484	3.979	0.7042	-0.4836	2.325	0.8908	0.08484	0.6448	-0.7466	-0.9926	-0.3563	-0.6448	5.561	0.163	5.561	0.234	-0.7701	0.713	-0.044	0.044	-0.151	-1.153	-1.222	-0.229	0.121	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Prevotella heparinolytica"	"S"	28113	452	121	292	369	110	452	146	288	279	24	27	186	299	0.004077	0.001139	0.003129	0.002469	0.0006888	0.002283	0.0007821	0.002313	0.001541	0.0001141	0.0001478	0.001651	0.004077	204.5	370	234.5	224	386	251	315.5	219	204.5	506.5	454	268	205	1.495	-0.7597	0.4054	0.93	-0.8346	1.495	-0.5893	0.3781	0.3168	-1.421	-1.4	-0.3168	0.4531	1.984	-0.3655	1.226	0.6981	-0.7255	0.5494	-0.6509	0.5734	-0.04398	-1.185	-1.158	0.04398	1.984	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Phocaeicola dorei"	"S"	357276	9093700	468639	101507	8984	4963	204905	163339	1369965	4023844	9093697	8017800	103407	601264	43.89	4.409	1.088	0.06011	0.03108	1.035	0.875	11	22.22	43.22	43.89	0.9178	8.198	1	6	25	59	59	18	18	4	1	1	1	18	3	19.94	0.3003	-0.5358	-0.7466	-0.7557	-0.3003	-0.395	2.353	8.398	19.94	17.49	-0.5315	0.6024	10.27	0.4144	-0.4144	-0.6709	-0.6781	-0.4276	-0.4675	2.059	4.859	10.1	10.27	-0.4568	1.36	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Phocaeicola"
"Phocaeicola vulgatus"	"S"	821	4467900	35838	19513	168935	123490	4467870	4164039	1416498	1154159	267191	239291	3276716	402044	29.08	0.3372	0.2091	1.13	0.7733	22.57	22.31	11.38	6.373	1.27	1.31	29.08	5.482	1	42	50	9	10	1	1	3	5	8	9	1	7	9.083	-0.6566	-0.6924	-0.3641	-0.4639	9.083	8.415	2.377	1.801	-0.1482	-0.2095	6.465	0.1482	5.74	-0.6836	-0.7123	-0.5064	-0.5862	4.285	4.227	1.784	0.6653	-0.4752	-0.4662	5.74	0.4662	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Phocaeicola"
"Phocaeicola coprophilus"	"S"	387090	29466	14380	29466	2397	3000	19611	8148	2029	2018	609	649	2221	3392	0.3157	0.1353	0.3157	0.01604	0.01879	0.09905	0.04365	0.0163	0.01114	0.002894	0.003552	0.01971	0.04625	42	68	42	111	91	74	101	135	127	176.5	156	123	96	13.16	5.745	13.16	-0.1483	0.1483	8.317	2.68	-0.3293	-0.3347	-1.028	-1.008	-0.2348	0.3411	12.48	4.884	12.48	-0.1351	-0.01936	3.358	1.027	-0.1241	-0.3413	-0.6883	-0.6606	0.01936	1.136	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Phocaeicola"
"Phocaeicola salanitronis"	"S"	376805	7929	4966	7929	2600	1297	5675	3013	726	1433	3577	3910	3438	2302	0.08496	0.04673	0.08496	0.0174	0.008122	0.02866	0.01614	0.005831	0.007912	0.017	0.0214	0.03051	0.03139	79	111	79	105	132	118	145	175.5	140	105	82	104	117	2.382	0.8813	2.382	-0.3167	-0.9765	1.24	-0.1076	-1.266	-0.9077	0.178	0.3466	0.1076	-0.4676	3.95	1.647	3.95	-0.1205	-0.6796	0.558	-0.1964	-0.8176	-0.6922	-0.1446	0.1205	0.6694	0.7225	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Phocaeicola"
"Parabacteroides merdae"	"S"	46503	983280	983276	127235	122119	61420	209193	476729	19109	953	8527	5763	123341	160459	9.252	9.252	1.363	0.8171	0.3846	1.057	2.554	0.1535	0.005262	0.04052	0.03154	1.095	2.188	2	2	23	13	16	17	7	52	158	74	64	16	13	6.107	6.107	0.03197	-0.004336	-0.4351	0.6136	2.512	-0.7354	-0.8642	-0.8105	-0.8301	0.004336	0.2678	6.676	6.676	0.342	-0.09631	-0.4436	0.09631	1.298	-0.6291	-0.7482	-0.7198	-0.7271	0.1268	1.004	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Tannerellaceae>Parabacteroides"
"Parabacteroides absconsus"	"S"	2951805	207800	207796	147809	977	353	3223	2029	5112	1431	97	82	261	571	1.955	1.955	1.584	0.006537	0.002211	0.01628	0.01087	0.04106	0.007901	0.000461	0.0004488	0.002316	0.007786	15	15	18	156	239	142	159	97	141	314.5	313	243	173	135.9	135.9	96.47	-0.1494	-0.56	1.329	0.5429	2.572	0.1494	-0.7285	-0.7383	-0.6205	-0.4165	201.8	201.8	163.4	-0.1354	-0.5838	0.8744	0.3137	3.443	0.00596	-0.7652	-0.7664	-0.5729	-0.00596	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Tannerellaceae>Parabacteroides"
"Parabacteroides goldsteinii"	"S"	328812	521210	66828	521206	606	537	2901	3373	3018	2257	7161	10637	4613	798	5.585	0.6288	5.585	0.004055	0.003363	0.01465	0.01807	0.02424	0.01246	0.03403	0.05822	0.04094	0.01088	3	32	3	193	193	148	140	118	121	77	53	89	157	140.1	17.21	140.1	-0.7005	-0.7191	-0.07966	0.04801	-0.04801	-0.2539	1.073	2.013	0.3834	-0.6485	250.4	27.35	250.4	-0.7696	-0.8007	-0.2927	-0.1388	0.1388	-0.3913	0.5794	1.668	0.8904	-0.4624	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Tannerellaceae>Parabacteroides"
"Parabacteroides distasonis"	"S"	823	550590	139738	198834	361263	156702	72950	82935	113279	235090	15300	17436	239132	550588	7.507	1.315	2.131	2.417	0.9813	0.3685	0.4443	0.9098	1.298	0.07271	0.09544	2.122	7.507	5	20	13	6	7	39	30	16	10	52	44	8	5	3.348	-0.07057	0.4211	1.772	0.07057	-0.6262	-0.5432	-0.2907	0.7227	-1.106	-1.088	0.7564	3.348	4.898	0.1349	0.7627	0.9827	-0.1218	-0.5933	-0.5349	-0.1768	0.1218	-0.8208	-0.8033	0.7557	4.898	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Tannerellaceae>Parabacteroides"
"Parabacteroides sp. ASD2025"	"S"	3415987	4244	734	655	864	439	489	739	543	709	863	676	967	4244	0.05787	0.006906	0.007018	0.005781	0.002749	0.00247	0.003959	0.004361	0.003915	0.004101	0.0037	0.008582	0.05787	88	207.5	188	167	216	243	209	190.5	166	161	153	166	88	16.73	0.05937	-0.3159	0.6769	-1.342	-1.104	0.08312	-0.8479	-0.05937	0.6721	-0.2161	1.166	16.73	23.86	1.19	1.24	0.6896	-0.6594	-0.7835	-0.121	0.05784	-0.1406	-0.05784	-0.2362	1.936	23.86	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Tannerellaceae>Parabacteroides>unclassified&nbsp;Parabacteroides"
"Parabacteroides sp. CT06"	"S"	2025876	132150	11786	75467	1954	226	132147	128134	9716	11698	471	507	8767	353	0.8086	0.1109	0.8086	0.01307	0.001415	0.6675	0.6864	0.07803	0.06459	0.002238	0.002775	0.07781	0.004813	22	76	27	121	294	26	22	71	60	188.5	166	69	191.5	9.471	0.1961	5.104	-0.5616	-0.6948	9.471	9.162	0.03657	0.1893	-0.6759	-0.6731	-0.03657	-0.685	7.379	0.3973	7.379	-0.5817	-0.6983	5.967	6.156	0.06834	-0.06614	-0.6901	-0.6847	0.06614	-0.6643	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Tannerellaceae>Parabacteroides>unclassified&nbsp;Parabacteroides"
"Parabacteroides johnsonii"	"S"	387661	9955	2278	1646	362	128	9562	9955	656	255	274	192	1062	1182	0.05333	0.02143	0.01764	0.002422	0.0008016	0.0483	0.05333	0.005269	0.001408	0.001302	0.001051	0.009426	0.01612	89	136	147	225	368.5	95	89	180	216.5	225	226	163	148	9.654	1.506	0.8353	-0.5275	-0.7759	9.237	9.654	-0.2155	-0.6411	-0.6209	-0.7079	0.2155	0.3428	4.83	1.479	1.081	-0.5174	-0.6876	4.302	4.83	-0.2183	-0.6239	-0.635	-0.6614	0.2183	0.9215	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Tannerellaceae>Parabacteroides"
"Parabacteroides chongii"	"S"	2685834	6581	293	1276	1045	6581	648	732	15	21	1275	1501	268	519	0.04121	0.002757	0.01367	0.006992	0.04121	0.003273	0.003921	0.0001205	0.000116	0.006059	0.008216	0.002379	0.007077	52	273.5	155	150	52	228	211	623	510	144	125	239.5	177	7.892	-0.5318	0.785	0.4756	7.892	-0.05626	0.05626	-0.9042	-0.8962	0.7837	1.086	-0.5653	-0.2291	10.09	-0.6219	2.417	0.5575	10.09	-0.4782	-0.2977	-1.356	-1.357	0.2977	0.8984	-0.7271	0.5812	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Tannerellaceae>Parabacteroides"
"Parabacteroides faecis"	"S"	1217282	1385	165	1010	119	263	58	37	69	34	1385	1205	180	220	0.01082	0.001553	0.01082	0.0007962	0.001647	0.000293	0.0001982	0.0005542	0.0001877	0.006582	0.006596	0.001598	0.003	138	327	163	332	275	500.5	485.5	334.5	431.5	141	138	270	220	7.503	-0.04641	5.182	-0.3311	0.56	-0.7085	-0.8385	-0.6405	-0.857	7.503	6.389	0.04641	0.2939	4.689	-0.01141	4.689	-0.3952	0.03626	-0.6505	-0.6985	-0.518	-0.7039	2.539	2.546	0.01141	0.7225	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Tannerellaceae>Parabacteroides"
"Tannerella serpentiformis"	"S"	712710	177	177	54	42	25	NA	16	NA	NA	NA	NA	10	7	0.001665	0.001665	0.0005786	0.000281	0.0001566	NA	8.571e-05	NA	NA	NA	NA	8.875e-05	9.545e-05	321	321	475	543.5	727.5	NA	757	NA	NA	NA	NA	974.5	873.5	13.37	13.37	3.611	2.658	1.309	NA	0.5951	NA	NA	NA	NA	0.119	-0.119	1.578	1.578	0.4914	0.1938	0.06937	NA	-0.00152	NA	NA	NA	NA	0.00152	0.00822	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Tannerellaceae>Tannerella"
"Tannerella forsythia"	"S"	28112	377	147	377	17	33	78	36	10	6	NA	7	NA	4	0.00404	0.001383	0.00404	0.0001137	0.0002067	0.000394	0.0001928	8.031e-05	3.313e-05	NA	3.831e-05	NA	5.454e-05	217	338	217	872.5	644	443.5	494	748	831.5	NA	770	NA	1211	18.16	6.67	18.16	0.1749	0.9743	3.223	1.124	-0.1749	-0.3747	NA	-0.3248	NA	-0.4746	3.943	1.286	3.943	0.0167	0.1097	0.297	0.0958	-0.0167	-0.06387	NA	-0.0587	NA	-0.04246	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Tannerellaceae>Tannerella"
"Alistipes putredinis"	"S"	28117	320600	253450	195557	2967	1529	294028	320597	1825	2596	5833	2651	26490	3924	2.385	2.385	2.095	0.01985	0.009575	1.485	1.717	0.01466	0.01433	0.02772	0.01451	0.2351	0.0535	10	10	14	97	123	11	10	139	113	83	96	42	92	66.52	52.37	40.17	-0.4027	-0.7057	60.92	66.52	-0.6433	-0.4809	0.2011	-0.4693	4.553	-0.2011	55.18	55.18	48.35	-0.4886	-0.7304	34	39.46	-0.6108	-0.6185	-0.3034	-0.6143	4.578	0.3034	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Rikenellaceae>Alistipes"
"Alistipes shahii"	"S"	328814	365810	103057	281185	35951	27103	76351	365812	48392	47608	44155	72107	21147	3316	3.013	0.9697	3.013	0.2405	0.1697	0.3856	1.96	0.3887	0.2629	0.2098	0.3947	0.1877	0.04521	8	25	10	24	28	38	8	34	30	31	19	51	100	8.413	1.457	6.173	-0.319	-0.5532	0.7505	8.413	0.01038	-0.01038	-0.1018	0.6381	-0.7108	-1.183	14.45	3.469	14.45	-0.4501	-0.8306	0.3297	8.791	0.3464	-0.3297	-0.6151	0.3786	-0.7339	-1.5	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Rikenellaceae>Alistipes"
"Alistipes communis"	"S"	2585118	92709	33650	22837	14719	1471	67479	92709	11304	7952	2426	2580	4453	21635	0.4966	0.3166	0.2447	0.09849	0.009212	0.3408	0.4966	0.09079	0.04391	0.01153	0.01412	0.03952	0.295	28	44	47	45	124	40	28	67	70	119	97	92	41	5.307	1.374	0.6543	0.1137	-0.7685	3.627	5.307	-0.1137	-0.3369	-0.7049	-0.6947	-0.5699	0.5743	3.217	1.777	1.201	0.03082	-0.6838	1.97	3.217	-0.03082	-0.406	-0.6652	-0.6445	-0.4412	1.604	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Rikenellaceae>Alistipes"
"Alistipes onderdonkii"	"S"	328813	1542100	10986	16808	12077	3993	280810	1542053	57645	122717	1442	2056	3449	867	8.26	0.1034	0.1801	0.08081	0.025	1.418	8.26	0.463	0.6776	0.006853	0.01125	0.03061	0.01182	4	78	53	53	77	13	4	31	15	139	109	103	155	105.5	-0.03761	0.3638	0.03761	-0.5198	18.57	105.5	3.179	7.666	-0.6957	-0.6533	-0.5573	-0.7353	66.33	0.09173	0.7146	-0.09173	-0.545	10.77	66.33	3.012	4.755	-0.6923	-0.6566	-0.4994	-0.652	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Rikenellaceae>Alistipes"
"Alistipes finegoldii"	"S"	214856	75691	10707	29670	11525	6900	14793	75691	4326	10168	63724	65789	3325	1349	0.4055	0.1007	0.3179	0.07711	0.04321	0.07472	0.4055	0.03474	0.05614	0.3028	0.3601	0.02951	0.01839	21	81	41	54	51	78	33	100	64	23	21	107	142	5.974	-0.03784	1.717	0.03784	-0.39	0.3402	5.974	-0.6282	-0.08771	4.867	5.058	-0.7208	-0.9036	5.077	0.3818	3.727	0.01841	-0.5038	-0.01841	5.077	-0.6342	-0.3046	3.495	4.377	-0.7148	-0.886	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Rikenellaceae>Alistipes"
"uncultured Alistipes sp."	"S"	538949	22307	5870	3251	1892	2190	1223	8237	19277	22307	403	351	289	2831	0.1548	0.05523	0.03483	0.01266	0.01371	0.006177	0.04412	0.1548	0.1232	0.001915	0.001921	0.002565	0.0386	41	101	111	122	109	186	99	51	41	200	186	234	107	6.259	1.062	0.2341	-0.1955	-0.1013	-0.407	1.81	5.301	6.259	-0.6663	-0.6827	-0.7023	0.1013	4.237	1.005	0.3428	-0.3769	-0.3428	-0.5873	0.6444	4.237	3.212	-0.7257	-0.7255	-0.7046	0.4652	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Rikenellaceae>Alistipes>environmental&nbsp;samples"
"Alistipes megaguti"	"S"	2364787	5276	2096	1458	2073	2647	768	3523	3529	5276	87	149	316	748	0.02913	0.01972	0.01562	0.01387	0.01658	0.003879	0.01887	0.02834	0.02913	0.0004135	0.0008155	0.002805	0.0102	82	141	152	119	100	213	135	112	82	328	250	228	163	1.92	0.1807	-0.1681	0.1681	0.482	-0.5454	0.961	0.9643	1.92	-0.9178	-0.8839	-0.7926	-0.5564	1.225	0.4237	0.07451	-0.07451	0.1563	-0.9253	0.3513	1.158	1.225	-1.22	-1.186	-1.017	-0.387	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Rikenellaceae>Alistipes"
"Alistipes dispar"	"S"	2585119	10324	1835	633	1056	115	1554	7520	2832	10324	957	656	134	2610	0.057	0.01727	0.006783	0.007066	0.0007201	0.007849	0.04028	0.02274	0.057	0.004548	0.003591	0.001189	0.03559	62	146	192	147	380.5	174	103	123	62	156	155	301	110	6.601	0.3879	-0.4919	-0.1823	-0.871	0.1823	4.549	1.118	6.601	-0.2547	-0.475	-0.8571	0.9552	5.139	1.018	-0.06996	-0.04061	-0.6988	0.04061	3.404	1.585	5.139	-0.3018	-0.401	-0.6502	2.918	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Rikenellaceae>Alistipes"
"Alistipes sp. i18-0019-D1"	"S"	3132707	29590	858	1608	479	578	1201	6096	1442	2607	523	788	206	29590	0.4035	0.008073	0.01723	0.003205	0.00362	0.006066	0.03265	0.01158	0.01439	0.002486	0.004313	0.001828	0.4035	36	196.5	149	211	185	188	112	146	111	183	149	256.5	36	36.45	-0.2189	0.7383	-0.7026	-0.5762	0.2189	6.466	0.5264	2.013	-0.6464	-0.3082	-1.051	36.45	58.81	0.1489	1.507	-0.5733	-0.5117	-0.1489	3.795	0.6691	1.086	-0.6799	-0.4089	-0.7775	58.81	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Rikenellaceae>Alistipes>unclassified&nbsp;Alistipes"
